"Subject","Metabolite","Sequence","Location","Field","CV_tCr","CV_tissue"
"sub-04","Gln","slaser","ll",7,12.6435373385847,16.0100480925224
"sub-05","Gln","slaser","ll",7,3.82335595867283,2.27450034317935
"sub-01","Glu","steam","ul",3,2.74905184814651,3.17116470017815
"sub-02","Glu","steam","ul",3,0.121060093822548,2.71751990188969
"sub-03","Glu","steam","ul",3,12.303592956288,11.9030268867618
"sub-04","Glu","steam","ul",3,2.34825475568679,0.744240147046212
"sub-05","Glu","steam","ul",3,11.6561303073612,14.093424046624
"sub-01","Glu","steam","ll",3,6.57734356729449,1.55219476438113
"sub-02","Glu","steam","ll",3,11.9343403405897,13.9170586060385
"sub-03","Glu","steam","ll",3,18.280603713514,10.8982524594981
"sub-04","Glu","steam","ll",3,7.66348230038294,6.21229068997566
"sub-05","Glu","steam","ll",3,0.503655468779907,0.626476830042724
"sub-01","Glu","steam","ul",7,1.05034947518491,4.19707924971937
"sub-02","Glu","steam","ul",7,1.71283414307002,2.42177343270501
"sub-03","Glu","steam","ul",7,8.89503585387962,9.19424131597401
"sub-04","Glu","steam","ul",7,6.39165264928296,4.35621922732541
"sub-05","Glu","steam","ul",7,8.51571434848748,9.46034377578539
"sub-01","Glu","steam","ll",7,5.73098137911943,5.42632023204949
"sub-02","Glu","steam","ll",7,2.08619620225578,0.720651562322556
"sub-03","Glu","steam","ll",7,2.45995574455942,0.362537270461198
"sub-04","Glu","steam","ll",7,33.8112199397825,30.7536661953514
"sub-05","Glu","steam","ll",7,0.807141656907422,4.51606033785869
"sub-01","Glu","slaser","ul",3,14.0517839734121,2.35819683635227
"sub-02","Glu","slaser","ul",3,7.50612774827594,7.7997894824168
"sub-03","Glu","slaser","ul",3,3.75296480219156,1.46988065989865
"sub-04","Glu","slaser","ul",3,7.18724605936744,2.52489934937698
"sub-05","Glu","slaser","ul",3,7.10066161798419,2.61624994929714
"sub-01","Glu","slaser","ll",3,8.69972450909515,4.76191329671268
"sub-02","Glu","slaser","ll",3,18.0607811443657,1.43054399554658
